date,province,confirmed,released,deceased
2월8일,광주,0,0,0
2월9일,광주,0,0,0
2월10일,광주,0,0,0
2월11일,광주,0,0,0
2월12일,광주,0,0,0
2월13일,광주,0,0,0
2월14일,광주,0,0,0
2월15일,광주,0,0,0
2월16일,광주,0,0,0
2월17일,광주,0,0,0
2월18일,광주,0,0,0
2월19일,광주,0,0,0
2월20일,광주,0,2,0
2월21일,광주,2,0,0
2월22일,광주,3,0,0
2월23일,광주,2,0,0
2월24일,광주,1,0,0
2월25일,광주,0,0,0
2월26일,광주,0,0,0
2월27일,광주,0,0,0
2월28일,광주,0,0,0
2월29일,광주,0,0,0
3월1일,광주,0,0,0
3월2일,광주,0,0,0
3월3일,광주,2,0,0
3월4일,광주,2,0,0
3월5일,광주,0,1,0
3월6일,광주,0,0,0
3월7일,광주,0,0,0
3월8일,광주,0,0,0
3월9일,광주,2,0,0
3월10일,광주,0,0,0
3월11일,광주,0,0,0
3월12일,광주,0,1,0
3월13일,광주,0,0,0
3월14일,광주,0,0,0
3월15일,광주,1,0,0
3월16일,광주,0,0,0
3월17일,광주,0,2,0
3월18일,광주,1,0,0
3월19일,광주,0,1,0
3월20일,광주,1,3,0
3월21일,광주,0,0,0
3월22일,광주,1,0,0
3월23일,광주,0,0,0
3월24일,광주,0,1,0
3월25일,광주,0,0,0
3월26일,광주,0,0,0
3월27일,광주,1,0,0
3월28일,광주,0,0,0
3월29일,광주,0,0,0
3월30일,광주,0,2,0
3월31일,광주,0,1,0
4월1일,광주,4,0,0
4월2일,광주,1,0,0
4월3일,광주,1,1,0
4월4일,광주,0,0,0
4월5일,광주,1,0,0
4월6일,광주,0,0,0
4월7일,광주,0,0,0
4월8일,광주,0,0,0
4월9일,광주,0,0,0
4월10일,광주,0,0,0
4월11일,광주,0,2,0
4월12일,광주,0,2,0
4월13일,광주,0,0,0
4월14일,광주,0,2,0
4월15일,광주,1,0,0
4월16일,광주,0,1,0
4월17일,광주,2,0,0
4월18일,광주,0,0,0
4월19일,광주,0,0,0
4월20일,광주,0,0,0
4월21일,광주,0,0,0
4월22일,광주,0,0,0
4월23일,광주,0,2,0
4월24일,광주,0,0,0
4월25일,광주,0,1,0
4월26일,광주,0,0,0
4월27일,광주,0,0,0
4월28일,광주,0,0,0
4월29일,광주,0,1,0
4월30일,광주,0,1,0
5월1일,광주,0,0,0
5월2일,광주,0,1,0
5월3일,광주,0,0,0
5월4일,광주,0,0,0
5월5일,광주,0,0,0
5월6일,광주,0,0,0
5월7일,광주,0,0,0
5월8일,광주,0,0,0
5월9일,광주,0,1,0
5월10일,광주,0,1,0
5월11일,광주,0,0,0
5월12일,광주,0,0,0
5월13일,광주,0,0,0
5월14일,광주,0,0,0
5월15일,광주,0,0,0
5월16일,광주,0,0,0
5월17일,광주,0,0,0
5월18일,광주,0,0,0
5월19일,광주,0,0,0
5월20일,광주,0,0,0
5월21일,광주,0,0,0
5월22일,광주,0,0,0
5월23일,광주,0,0,0
5월24일,광주,0,0,0
5월25일,광주,0,0,0
5월26일,광주,0,0,0
5월27일,광주,0,0,0
5월28일,광주,0,0,0
5월29일,광주,0,0,0
5월30일,광주,2,0,0
5월31일,광주,0,0,0
6월1일,광주,0,0,0
6월2일,광주,0,0,0
6월3일,광주,0,0,0
6월4일,광주,0,0,0
6월5일,광주,0,0,0
6월6일,광주,0,0,0
6월7일,광주,0,0,0
6월8일,광주,0,0,0
6월9일,광주,0,0,0
6월10일,광주,0,0,0
6월11일,광주,0,0,0
6월12일,광주,0,0,0
6월13일,광주,0,0,0
6월14일,광주,0,0,0
6월15일,광주,0,0,0
6월16일,광주,0,2,0
6월17일,광주,0,0,0
6월18일,광주,0,0,0
6월19일,광주,0,0,0
6월20일,광주,0,0,0
6월21일,광주,1,0,0
6월22일,광주,0,0,0
6월23일,광주,0,0,0
6월24일,광주,0,0,0
6월25일,광주,0,0,0
6월26일,광주,0,0,0
6월27일,광주,0,0,0
6월28일,광주,4,0,0
6월29일,광주,4,0,0
6월30일,광주,3,0,0
1월20일,대구,0,0,0
1월21일,대구,0,0,0
1월22일,대구,0,0,0
1월23일,대구,0,0,0
1월24일,대구,0,0,0
1월25일,대구,0,0,0
1월26일,대구,0,0,0
1월27일,대구,0,0,0
1월28일,대구,0,0,0
1월29일,대구,0,0,0
1월30일,대구,0,0,0
1월31일,대구,0,0,0
2월1일,대구,0,0,0
2월2일,대구,0,0,0
2월3일,대구,0,0,0
2월4일,대구,0,0,0
2월5일,대구,0,0,0
2월6일,대구,0,0,0
2월7일,대구,0,0,0
2월8일,대구,0,0,0
2월9일,대구,0,0,0
2월10일,대구,0,0,0
2월11일,대구,0,0,0
2월12일,대구,0,0,0
2월13일,대구,0,0,0
2월14일,대구,0,0,0
2월15일,대구,0,0,0
2월16일,대구,0,0,0
2월17일,대구,0,0,0
2월18일,대구,1,0,0
2월19일,대구,10,0,0
2월20일,대구,19,0,0
2월21일,대구,80,0,0
2월22일,대구,83,0,0
2월23일,대구,117,0,1
2월24일,대구,173,0,1
2월25일,대구,60,0,4
2월26일,대구,167,1,0
2월27일,대구,422,1,0
2월28일,대구,448,1,0
2월29일,대구,656,0,4
3월1일,대구,468,3,1
3월2일,대구,377,1,4
3월3일,대구,520,2,6
3월4일,대구,406,2,4
3월5일,대구,321,3,2
3월6일,대구,366,1,3
3월7일,대구,390,3,1
3월8일,대구,297,0,4
3월9일,대구,190,3,0
3월10일,대구,92,71,3
3월11일,대구,131,10,6
3월12일,대구,73,12,4
3월13일,대구,61,137,0
3월14일,대구,62,150,3
3월15일,대구,41,67,2
3월16일,대구,35,266,0
3월17일,대구,32,213,4
3월18일,대구,46,101,1
3월19일,대구,97,334,7
3월20일,대구,34,195,2
3월21일,대구,69,284,6
3월22일,대구,43,246,2
3월23일,대구,24,198,7
3월24일,대구,31,266,6
3월25일,대구,14,169,4
3월26일,대구,26,299,2
3월27일,대구,34,285,4
3월28일,대구,71,219,3
3월29일,대구,23,163,5
3월30일,대구,14,131,5
3월31일,대구,60,109,3
4월1일,대구,20,124,1
4월2일,대구,21,213,2
4월3일,대구,9,151,4
4월4일,대구,27,239,1
4월5일,대구,7,100,5
4월6일,대구,13,92,2
4월7일,대구,13,53,5
4월8일,대구,9,43,3
4월9일,대구,4,145,2
4월10일,대구,0,87,3
4월11일,대구,7,78,3
4월12일,대구,2,85,1
4월13일,대구,3,39,1
4월14일,대구,3,45,5
4월15일,대구,1,46,3
4월16일,대구,4,100,3
4월17일,대구,0,40,1
4월18일,대구,3,59,1
4월19일,대구,2,58,1
4월20일,대구,1,26,2
4월21일,대구,2,24,1
4월22일,대구,1,34,1
4월23일,대구,4,63,1
4월24일,대구,2,41,0
4월25일,대구,3,43,0
4월26일,대구,1,44,2
4월27일,대구,1,22,1
4월28일,대구,2,16,1
4월29일,대구,3,19,1
4월30일,대구,0,69,1
5월1일,대구,0,0,0
5월2일,대구,0,11,2
5월3일,대구,4,12,0
5월4일,대구,0,10,0
5월5일,대구,0,22,2
5월6일,대구,0,18,1
5월7일,대구,0,32,1
5월8일,대구,3,28,0
